Course	Room	Teacher	Time	Students
006036	PK243	0031526	6	0748713 0802029 0813366 0834443 0851310 0857382 0896929 0907151 0910421 0945449 0948095 1005112 1007134 1007394 1035148 
006054	PK336	0207327	7	0813366 0829788 0834443 0835804 0855085 0857382 0897310 
001178	DAL100A	0827357	2	0748765 0901703 
001185	DAL100A	0031577	3	0748765 0825478 0862176 0869484 0873557 0915579 
001838	PK227	0168763	5	0748765 0752318 0771075 0779276 0781424 0831435 0832653 0848355 0850690 0854345 0867165 0906085 0914290 0914299 0914509 0945635 0965861 0987276 0988620 0992189 1001039 1001196 1001806 1002405 1005971 1018252 1040868 1067862 1077380 
007008	EHII	0316015	7	0751495 0880639 0896287 0905351 0907493 0909216 0960068 1005068 1067483 1078648 
001193	DAL100A	0706398	4	0752553 0772504 0781527 0806882 0818349 0818599 0829796 0830141 0830197 0833438 0858034 0871681 0881793 0911366 0911941 0917702 1016462 1077380 
006029	PK336	1167858	8	0754161 0769557 0771732 0773692 0780528 0834495 0848492 0852109 0853174 0853970 0898872 0904506 0907151 0910421 0912781 0913466 0913989 0915622 0915648 0917334 0918009 0919283 0945449 0945959 0948390 0952783 0957333 0958186 0958879 0959189 0960037 0964596 0966094 0967988 0970193 0971315 0972660 0976318 0986262 0988625 0989432 0991769 0999826 1000355 1002045 1002241 1002248 1005059 1005112 1007196 1007394 1008387 1009729 1013197 1016434 1018936 1020150 1025460 1034405 1047318 1065183 1080648 
006860	PK337	1167884	2	0754161 0886011 0904506 0957333 0958186 0989432 1008387 
005734	CARP17	0855349	5	0770471 0790880 0798802 0851033 0908461 0952211 
007377	DAL105	0031522	5	0754424 0787159 0822518 0849245 0865750 0892206 0899135 0905453 0906362 0906635 0950811 
007395	DAL105	1167859	6	0754424 0771075 0779966 0781139 0791975 0802256 0824872 0824983 0825102 0828467 0829872 0831800 0904706 
008763	GIL101	1083367	5	0755048 0784558 0803706 0807347 0832248 0860298 0904516 0911936 0966299 0984724 1001613 1001894 1002047 1003128 1007134 1011104 1018271 1019212 1020478 1020727 1027597 1030369 1032769 1037541 1038671 1045379 1049929 1053105 1055590 1058058 1067377 1067483 1068371 1078921 1082150 1082907 1083627 1085631 
004374	TAYB	0847593	6	0848994 
004853	CARP15	0032827	6	0755872 0856959 0858092 0899135 
007034	TH111	0031573	8	0755872 0859231 0873190 0887130 0913115 1017760 1083812 
003442	EHI	0826941	6	0756275 0803706 0822518 0828705 0830276 0852456 0902217 0906035 0920248 0960497 0993566 1044791 
003518	EHI	0915760	8	0783959 0807993 0830276 0833941 0865667 
006848	PK337	0031347	3	0756739 0865894 0915648 0918009 0918074 0945959 0945969 0946010 0952783 0959304 0960084 0986262 0988603 0991763 0992801 0993929 1002045 1002248 1007134 1008925 1013197 1016434 1024283 1038671 1055078 1056738 1057535 1068526 1084187 
005740	CARP17	0031392	8	0768049 0818674 
005741	CARP17	0855349	7	0768049 
001237	DAL100A	0827357	5	0768235 0812628 0818384 
004280	PK259	0031577	4	0768235 1005548 
003505	EHI	1063507	7	0806189 0850337 0858924 
001151	CARP21	0309967	8	0768585 0772504 0806882 0824299 0858114 0887308 0903917 0906035 0908998 0909216 0911706 0912439 0912699 0914260 0948095 0954830 0954831 0959919 0966077 0966268 0967532 0987937 0992616 0992801 1000750 1002364 1006744 1007554 1007842 1009559 1010750 1024213 1025569 1039679 1041140 1042335 1058421 1064780 1065796 1066309 1067460 1078413 1078680 1079614 1079993 1080149 1083626 1086916 1172030 
001890	PK227	0826942	6	0768585 0803723 0852176 
001897	PK227	0056992	8	0809224 0828596 0831966 
003454	EHII	0915760	9	0768585 0807750 0832653 0850382 0858924 0898872 0902217 0912699 0916427 0945034 0953178 0965861 0988657 1004997 1015256 1017760 
001213	DAL100A	0031471	6	0830197 0858034 0869484 
001845	PK227	0031577	7	0770471 0799016 0809224 0830280 0834343 0858872 0861815 0882323 0887308 0890199 0892458 0905540 0907897 0909692 0910056 0915652 0918118 
001763	GOB	0027799	4	0771438 0832928 0860257 0953178 0988544 1017760 
004835	TH110	0032827	8	0807750 0909240 0970262 0988355 0993506 1003476 
001551	PEMSTD	0855533	4	0771752 0830280 0833941 0850337 0905540 0909692 0914599 
006865	PK337	1167883	4	0772005 0822717 0824299 0829837 0830862 0843307 0860659 0886011 0909585 0948095 
008492	TH110	0031462	7	0782929 0807993 0836904 0860532 0867165 0903222 
007393	DAL105	0987494	8	0772735 0779966 0825102 0825646 0829872 0896224 
001576	ARNST	0826962	2	0772927 0908002 
004808	CARP21	1074848	7	0773772 0825970 0849809 0950811 0967532 1004206 
001843	PK229	0056992	9	0773014 0780485 0799016 0807993 0819118 0858872 0883015 0887308 0899636 0901688 0915652 0915885 0960068 0966299 0985094 0992616 1016996 
002669	TAYD	0897706	7	0773014 
004013	TH102	0031578	8	0773014 0781976 0856959 0867125 0903449 0906963 0915885 0947693 0960068 0982172 0986094 0993532 1002767 1003020 1004225 1008925 1010643 1017832 1017840 1019006 1025508 1025533 1029566 1037338 1067726 1076923 
002151	PK264	0470544	4	0773175 0875055 0904516 0904680 0906963 0909240 0945809 0960068 0967988 0970262 0989590 0992616 0993790 0999715 1002248 1002364 1004225 1005149 1006744 1008387 1009559 1017444 1018301 1021867 1025629 1034405 1035148 1036225 1036442 1040874 1047339 1055290 1056722 1056963 1058223 1064045 1065142 1065796 1066778 1067334 1067460 1067933 1068371 1076989 1078680 1083430 1083594 1084017 
005845	CAN311	0031582	1	0773276 0988603 1025379 1030693 1039868 1042335 1057779 
001856	PK227	0826942	9	0773385 0803723 0848150 0852176 
003027	TH224	0375562	7	0773573 0802710 0803706 0818674 0853970 0860204 0868309 0912081 
008441	TAYB	0031462	8	0776956 0812518 0907248 1044791 
004857	TH110	1063507	9	0788849 0845664 0849713 0857382 0871309 0901481 
