84.09864
Zero Conflict:37125
Nonzero Conflict:3023
More students interested than room limit: 2
Course	Room	Teacher	Time	Students
001887	7 / 67 / 7	PK338	0898918	39	3097120 3157738 3185451 3196629 3222195 3316768 3322637 
005228	13 / 67 / 16	PK338	3448653	40	3134217 3134622 3160201 3161154 3218659 3223362 3260251 3340158 3355412 3375629 3435366 3435692 3438100 
005741	2 / 65 / 4	TH110	0031543	41	3211821 3425364 
005293	10 / 67 / 12	PK338	1020104	41	3099325 3112960 3119907 3125756 3128188 3216872 3226945 3251781 3341874 3350298 
007028	13 / 67 / 14	PK338	0316015	42	3099420 3202006 3219051 3323512 3330355 3340003 3344151 3356374 3396292 3414124 3416354 3417355 3418441 
007040	11 / 65 / 11	TH110	0162976	43	3099420 3255727 3260429 3330264 3339061 3405604 3414201 3416658 3419570 3437089 3438589 
002174	8 / 65 / 9	TH110	0004950	42	3099989 3110744 3157738 3196629 3213032 3218938 3234753 3314060 
006852	22 / 67 / 22	PK338	0031347	43	3100155 3198380 3212073 3223454 3250803 3254734 3304568 3323512 3339814 3351574 3352040 3374569 3412523 3416374 3417073 3417314 3417336 3417791 3430527 3431260 3434468 3439564 
006041	25 / 65 / 25	TH110	0213446	44	3100182 3102134 3106762 3116392 3133434 3134011 3156597 3160245 3162924 3192700 3198863 3199633 3201354 3224484 3224949 3337912 3338564 3339989 3358756 3366745 3381480 3389574 3412100 3414467 3418079 
006043	26 / 67 / 40	PK338	0207327	45	3102322 3105287 3110744 3113444 3116805 3124142 3134309 3199412 3200235 3200866 3211569 3212902 3212915 3219305 3223362 3246608 3257419 3259524 3269425 3324271 3334029 3338017 3339160 3369591 3415827 3416354 
006031	30 / 67 / 47	PK338	0213446	44	3100359 3103190 3212483 3217578 3234786 3250131 3329365 3331071 3342969 3412644 3413598 3415144 3415852 3416424 3417135 3418106 3423676 3425150 3425364 3425755 3430152 3430978 3431078 3431080 3432301 3433829 3437511 3437778 3438550 3439356 
011865	4 / 65 / 4	TH110	3393042	46	3100786 3102322 3260251 3369591 
012350	5 / 65 / 7	TH110	3194197	45	3100786 3324231 3347767 3414124 3434468 
006874	5 / 67 / 5	PK338	0750235	46	3101841 3316953 3329365 3340232 3411108 
011037	4 / 65 / 6	TH110	0777265	47	3102105 3112870 3342984 3411136 
009362	13 / 67 / 15	PK338	0125630	47	3102134 3180674 3201900 3223998 3310035 3312777 3337463 3347767 3350812 3397598 3413521 3414298 3434539 
010944	3 / 65 / 3	TH110	0777265	49	3102278 3128777 3311583 
004293	4 / 65 / 5	TH110	3447501	48	3102322 3226486 3330300 3331222 
006060	16 / 67 / 19	PK338	0031454	50	3102322 3103486 3106762 3118205 3133434 3134309 3192700 3199412 3200235 3200866 3211884 3212915 3218454 3219305 3224891 3224949 
004023	6 / 67 / 9	PK338	1167978	48	3102969 3291024 3311775 3312800 3340879 3416640 
005258	5 / 67 / 7	PK338	3426676	49	3102969 3134350 3179084 3198356 3344218 
004362	2 / 65 / 4	TH110	0989327	50	3250084 3324812 
004394	5 / 65 / 5	TH110	0989327	51	3102974 3158421 3231318 3303699 3344218 
012728	15 / 67 / 16	PK338	0672202	51	3197293 3221499 3225193 3227297 3287584 3304568 3304629 3319386 3319863 3352904 3395624 3401311 3404642 3406042 3415144 
005725	12 / 67 / 12	PK338	0164326	52	3103190 3329409 3340316 3341634 3352040 3357367 3364124 3396837 3402556 3402721 3412100 3417097 
006034	17 / 67 / 17	PK338	0207327	53	3103190 3212483 3331686 3359188 3364991 3404179 3411531 3412100 3413598 3414467 3418106 3423676 3425364 3425755 3431080 3432259 3437778 
006868	10 / 65 / 10	TH110	3392567	52	3103343 3107001 3153272 3198918 3266668 3316953 3329365 3338009 3339354 3411108 
001871	4 / 65 / 4	TH110	3422398	53	3103486 3105895 3318430 3339567 
002368	32 / 67 / 33	PK338	1051497	54	3103486 3250074 3330298 3337390 3340716 3366138 3398070 3405829 3412557 3412644 3412835 3413022 3413356 3414016 3414811 3415125 3415870 3418094 3420380 3424520 3424594 3431060 3431155 3431303 3432796 3433501 3436227 3436311 3438084 3439356 3439636 3458122 
