80.68988
Zero Conflict:25650
Nonzero Conflict:2286
More students interested than room limit: 1
Course	Room	Teacher	Time	Students
011311	13 / 77 / 15	PK338	3198619	37	0986212 1012362 1019072 1020019 1049392 1069679 1069838 1079349 1136139 1141766 3079774 3088350 3098284 
001433	9 / 60 / 10	PK25	0031632	36	0990773 1086904 3066973 3078437 3080405 3081763 3082941 3093298 3100196 
002464	7 / 60 / 8	PK25	1051497	37	1012096 1012249 1058367 1058429 1073523 1075327 1079132 
002864	6 / 60 / 6	PK25	0004955	38	0990773 1009834 1163125 3064715 3188887 3194683 
005263	12 / 77 / 13	PK338	0029475	38	1021632 1022791 1033040 1046598 1049426 1050480 1065966 1069205 1071806 1162792 3069040 3190633 
004889	8 / 60 / 9	PK25	0031373	39	0993773 1010693 1013149 1021632 1048639 1048692 1056807 1076439 
007043	23 / 77 / 26	PK338	3315634	39	0993816 1020019 1056570 1058367 1060805 1069679 1069838 1076049 3064630 3065016 3065312 3068612 3068911 3078066 3078232 3078408 3084853 3089115 3090316 3090776 3091890 3093411 3095306 
001844	4 / 60 / 6	PK25	3312777	40	0994035 1028864 1057027 1081058 
001893	4 / 60 / 4	PK25	0898918	41	0994035 1022209 1057027 1059882 
002414	7 / 77 / 9	PK338	0697660	40	0994228 1012249 1075852 1079132 3066736 3151195 3189715 
003437	11 / 77 / 11	PK338	0897706	41	0994228 0996647 1010596 1012900 1048639 1059105 1059663 3088071 3097933 3098242 3217408 
007910	2 / 60 / 2	PK25	0031539	42	0994327 1138792 
007923	2 / 60 / 7	PK25	0031539	43	0994327 1138792 
007926	5 / 60 / 5	PK25	0431946	44	0994327 1032467 1033040 1038861 1039740 
007374	22 / 77 / 22	PK338	3220272	42	0994458 1082986 1092959 1139204 1161804 3057399 3065560 3069352 3073359 3078150 3078437 3079816 3080512 3081234 3087117 3091870 3093411 3097075 3098553 3099375 3142378 3217415 
007380	8 / 77 / 18	PK338	3332660	43	0994458 1017955 1057212 1071507 1139204 1141766 1161824 3078437 
011299	4 / 77 / 6	PK338	0058557	44	0994458 1079538 1156612 3064906 
006026	16 / 77 / 22	PK338	0213446	45	0996066 1009761 1060284 1070385 1134634 1143121 1161791 3061194 3066973 3092577 3097588 3103203 3205329 3216649 3217785 3218135 
001896	5 / 60 / 7	PK25	0205229	45	0996647 1012572 1041721 1047712 1076016 
003008	25 / 77 / 25	PK338	3195619	46	0997481 1001389 1012362 1012942 1026827 1050032 1059804 1060805 1071241 1090521 3063558 3065568 3077931 3079866 3085394 3088071 3090312 3092179 3096808 3100415 3118090 3151195 3154498 3155033 3204243 
003033	3 / 60 / 4	PK25	0492580	47	0997481 1069716 3069486 
011310	15 / 60 / 15	PK25	0207327	46	0997504 1002151 1028449 1029963 1042351 1047770 1059756 1060948 1069583 1069904 1074339 1075264 1150429 3064630 3066088 
009335	10 / 77 / 10	PK338	0031522	47	0997849 1052099 1060170 1071507 1074737 1136139 1141766 3062862 3093050 3096229 
007378	20 / 77 / 27	PK338	0851717	48	0998860 1025191 1045527 1070105 1073214 1081394 3078150 3079120 3087757 3088052 3089769 3091892 3093411 3097082 3098380 3099375 3104870 3120610 3145520 3211006 
006035	10 / 60 / 13	PK25	3334524	48	0998866 1028647 1051994 1057202 1072193 1092958 1096638 1109742 3078071 3079774 
011190	8 / 77 / 8	PK338	3208554	49	0999166 1003065 1005493 1037801 1071343 1076479 1091481 1143387 
004869	4 / 60 / 7	PK25	0053518	49	1000374 1010723 1072820 3063437 
011309	1 / 60 / 5	PK25	0180723	50	3080118 
006034	21 / 77 / 33	PK338	0031454	50	1001389 1080636 1086556 1153554 1155813 1160136 1162725 3072895 3079774 3079871 3085421 3087527 3088264 3092408 3092532 3092830 3094744 3095908 3097709 3108691 3204893 
010959	10 / 60 / 11	PK25	0024402	51	1002597 1068859 1079912 1095145 3063573 3064906 3085407 3096355 3135241 3248179 
001180	11 / 77 / 11	PK338	0031388	51	1003163 1070296 1095813 1133031 1158585 1162390 3075252 3085021 3087472 3089763 3094738 
010934	1 / 60 / 5	PK25	3098022	52	1090632 
011539	3 / 60 / 9	PK25	3315568	53	3085002 3093298 3100196 
005850	12 / 77 / 15	PK338	3212821	52	1003172 1041472 1070105 1073076 3078958 3079829 3082941 3089580 3092781 3105382 3216649 3219428 
001161	13 / 77 / 13	PK338	0031388	54	1003526 1031093 1058731 1070296 1072415 1073523 1093772 1122236 1153036 1153904 3075252 3079169 3150843 
005290	6 / 77 / 11	PK338	3334598	53	1050014 1094776 3070922 3081431 3082314 3091340 
001547	11 / 60 / 11	PK25	0129398	54	1009834 1017955 1050843 1058076 1080595 1096573 1163245 3069486 3071792 3099184 3216840 
006849	12 / 77 / 13	PK338	0031347	55	1069299 3091221 3094263 3095021 3099423 3136630 3145694 3155695 3169335 3190685 3193996 3217543 
009299	5 / 60 / 5	PK25	3092667	56	1010254 1056692 1096573 3078437 3099191 
001467	5 / 60 / 5	PK25	0031582	55	1010262 1079349 1156628 1158585 3095599 
001763	11 / 77 / 11	PK338	0027799	56	1010596 1036983 1057618 1150110 1157995 3062439 3081720 3088346 3089884 3125873 3126883 
011529	18 / 77 / 19	PK338	3310251	58	1010605 1027000 1030725 1049279 1068656 1072178 1075221 1076785 1081394 1093453 3062413 3066992 3081179 3084658 3097009 3104870 3155201 3205208 
002399	6 / 77 / 6	PK338	3208421	57	1010674 1058076 1093758 3063558 3065722 3094744 
006523	2 / 60 / 2	PK25	3319106	57	1010693 1048446 
011397	3 / 60 / 5	PK25	3310251	58	1059105 1076884 3061759 
002397	13 / 60 / 13	PK25	0493725	59	1010723 1050664 1090070 1090632 1133589 3063558 3069318 3081988 3089769 3095460 3097321 3188402 3211643 
011333	2 / 51 / 3	PK349	0031573	59	1049392 3098034 
004809	13 / 77 / 13	PK338	3194193	59	1011239 3062413 3065722 3068911 3073216 3078958 3088433 3088969 3119630 3190134 3194428 3205208 3217372 
011329	19 / 35 / 22	CARP21	1165592	1	1011239 1012792 1048703 1083355 1086904 1092760 1150448 1154382 1157995 1163282 3082246 3086455 3088052 3089884 3103910 3153306 3179026 3191823 3194873 
004066	8 / 17 / 9	CARP17	3335907	1	1011428 1016345 1034403 1069839 1074374 1091481 3059978 3070830 
009259	8 / 24 / 10	GIL101	0031416	1	1011634 1017801 1036579 1050014 1095145 3082941 3089580 3092781 
011533	5 / 23 / 10	EHLEC	3213249	1	1012096 1012900 1069838 3110756 3209843 
003275	13 / 33 / 16	GOB	0695890	1	1012362 1049392 1069205 1103971 1134731 1161782 3068633 3080142 3081988 3084782 3095254 3098240 3216244 
008784	4 / 16 / 8	PK354	0031572	1	1133589 1156086 3068167 3090714 
011660	5 / 12 / 6	CARP15	0855533	1	1014173 1080204 1091600 3079872 3213727 
007396	9 / 34 / 10	TH104	0162977	3	1014289 1076785 1094452 1094776 1155700 3070045 3078602 3079816 3210877 
002992	49 / 60 / 51	PK25	3195619	1	1015916 1033562 1058218 1059882 1068660 1073075 1084609 1163719 3070922 3072097 3079829 3085302 3087533 3091889 3094744 3095337 3097592 3098947 3098983 3099257 3104870 3105292 3109335 3110627 3122181 3149019 3150843 3173283 3185376 3189715 3191198 3191285 3194322 3196059 3204279 3204306 3204495 3211335 3214704 3215666 3216898 3217371 3217413 3217444 3217543 3217778 3217785 3218679 3227175 
007032	5 / 14 / 7	TH102	3319106	1	1072725 3094575 3095290 3097080 3217540 
011391	4 / 9 / 4	BYC239	3310794	1	1016737 1019072 1060170 1141987 
002856	77 / 77 / 188	PK338	3310251	1	1017457 1068953 1073211 1080636 1104799 1120982 1154430 1154715 1156319 1156628 1158383 1160136 3062898 3063119 3067133 3067214 3068181 3068251 3068878 3071791 3071792 3072284 3076209 3078987 3079866 3079887 3079915 3080546 3080774 3081400 3081431 3082033 3082488 3085021 3085391 3085407 3087117 3087330 3087414 3087472 3087527 3087948 3088010 3088047 3088147 3089542 3091169 3091218 3091587 3091842 3091870 3092012 3092091 3092151 3092411 3092577 3092830 3093257 3093319 3093349 3094263 3094422 3094527 3095391 3095417 3095599 3096229 3096808 3097082 3097709 3098224 3098243 3099191 3099375 3099745 3100080 3100385 
002163	13 / 30 / 16	TAYF	0168378	1	1017882 1051994 1093828 1109276 1126780 3057362 3061134 3062766 3070495 3086192 3088141 3088969 3100402 
002166	1 / 28 / 13	TAYD	0428815	1	1033296 
011219	2 / 12 / 6	EHIII	1168490	1	1134649 3086709 
008780	7 / 22 / 10	GIL210	3194197	1	1018045 3088350 3090375 3212165 3212293 3215081 3217415 
002174	1 / 6 / 3	GOA	0004950	1	1018051 
004360	8 / 26 / 11	TAYE	0138190	1	1018267 1056297 1163424 3080512 3081503 3085421 3103193 3204644 
008421	23 / 46 / 34	PK180	0132890	1	1020019 1047863 1090521 1136656 1138000 1143180 3062439 3062862 3068998 3078232 3081073 3084353 3085394 3104014 3105382 3118027 3173096 3178019 3205138 3205324 3211006 3216670 3217793 
004734	2 / 9 / 5	GOCOM	1084458	1	1155110 3153713 
005870	4 / 12 / 6	TAYB	3212821	1	1020671 1032253 1104323 3098553 
001847	5 / 11 / 6	TH111	0205229	1	1022209 1030842 1041721 3064906 3073017 
011396	10 / 33 / 11	PK336	3310251	2	1023115 1068656 1093453 1150110 3063070 3064869 3082784 3082959 3085391 3090316 
007377	17 / 33 / 18	PK336	0031522	1	1025191 1048062 1057693 1060793 1071343 1092959 1096920 1115206 1150429 3065488 3070045 3078602 3080943 3081698 3097192 3204153 3211384 
002667	5 / 14 / 7	TAYC	0897706	1	1027000 1049942 1052099 1058429 1072415 
002562	20 / 51 / 23	PK349	1168490	2	1027570 1071070 1084609 1159860 3067313 3073790 3101907 3119630 3125322 3125808 3127044 3190778 3190802 3191198 3191876 3216013 3216840 3217604 3217793 3248179 
008766	24 / 51 / 38	TH224	0431786	1	1029713 1073523 1076016 1076439 1079132 1081207 1161753 3063558 3078150 3092126 3093100 3096963 3097468 3098317 3100011 3106403 3119909 3142378 3169335 3175356 3177165 3188402 3193288 3213840 
001425	2 / 6 / 3	CAN314	0020093	1	1029760 3096355 
005195	15 / 39 / 25	TH110	0493855	1	1032101 1073316 1112411 3067793 3120610 3126772 3152623 3161390 3165880 3170878 3194428 3209669 3213909 3215784 3219428 
007904	4 / 14 / 7	EHSEM	0431946	1	1032467 1092805 1161808 3103203 
009358	2 / 8 / 4	PK227	0031386	1	1033040 1038861 
004275	7 / 26 / 12	PK243	0017611	1	1080542 1156277 1164777 3088571 3093208 3096489 3125322 
005141	9 / 29 / 16	BYC127	1020104	1	1050480 3077505 3084716 3095306 3100468 3152743 3197905 3211393 3212787 
007391	9 / 25 / 11	CARP25	0031631	1	1049022 1058154 1069835 1071690 1143142 1161804 3057399 3065560 3079816 
