66.347046
Course	Room	Teacher	Time	Students
007391	EHI	0031631	2	0748357 0772735 0772927 0779966 0785955 0824983 0825102 0831800 0849245 0849535 0857016 0865750 0896476 0903338 0906362 0912695 0986367 1086329 
007396	TH224	0162977	2	0791975 0813147 0822518 0828467 0861180 0865346 0904706 
007041	DAL318	0162976	2	0748627 0804850 0824978 0846811 0849243 0860204 0903436 0904347 0913115 1000990 1005068 1007882 1076776 
006059	EHLEC	0207327	2	0748713 0802766 0817768 0829788 0831703 0855085 0857382 
001152	PK25	1064481	2	0748765 0780191 0827963 0865894 0901732 0904918 0914260 0952211 0954830 0991668 0991763 0993517 1005102 1005720 1007842 1010643 1011104 1017339 1017412 1018252 1018817 1020083 1024213 1025035 1025379 1025508 1025845 1029787 1032769 1037291 1037541 1037745 1040868 1040874 1041140 1053105 1055441 1056217 1056600 1057261 1057520 1057535 1058421 1064790 1065196 1065271 1066308 1066679 1067297 1073544 1076274 1077380 1079614 1079993 1082907 
001161	TAYE	0031388	2	0819118 0854235 0871681 0960037 0966268 0991756 0992189 1016462 
001844	TH111	0826942	2	0865276 0912699 0914290 0914299 0993506 1003644 
006868	EHII	1167884	2	0751495 0772005 0824299 0829837 0830862 0832455 0843307 0860659 0909585 0948095 
002562	TAYB	1167856	2	0802807 0914509 1005346 1006438 1066335 
008469	TH104	0125630	2	0858864 0967042 1003539 
003270	TAYG	0675005	3	0752318 1005112 1067502 
004394	GOB	0989327	2	0798802 0847932 0848994 0899636 0902226 0949279 0968216 0976244 0998885 1067182 
006854	ARNST	0824244	2	0754161 0886011 0957333 0989432 
006043	TAYSEM	0031454	2	0755048 0778307 0780450 0781523 0795445 0802029 0812300 0813366 0826565 0827209 0831531 0832718 0833031 0834443 0850613 0853072 0861730 0862049 0880639 0887478 0892333 0892458 0899419 0899481 0901946 0901961 0908862 0911598 0912081 0915543 0959337 0987613 1000895 
004276	PK180	1165566	2	0755872 0825616 0896929 0898872 0907150 0907217 0909091 0950942 0971315 0976421 0993268 0999712 0999896 1002241 1004206 1005082 1019940 1023494 1023923 1029210 1044157 1056910 1057592 1065781 1066309 1067251 1082150 1084909 1085631 
004845	GIL101	0672202	2	0782876 0802127 0812298 0849713 0871309 0897091 0899135 0903449 0909560 0920251 0966125 0991229 1084462 
001768	RCCON	0027799	2	0768049 0825559 0956475 0980544 
001572	TH102	0826962	3	0756732 0826565 0834544 0849809 0889700 0906738 0907172 0988631 1004206 
003527	CARP17	1084371	2	0756732 0768507 0851187 0883015 0907248 
002638	PK227	1167917	2	0832171 
002941	DAL112	0088906	2	0769020 0853988 0909693 0915226 0992223 0998972 1007196 
006031	PK338	1167858	2	0769557 0769686 0786916 0806189 0814593 0823997 0847790 0853970 0890043 0897101 0904680 0907151 0912781 0914076 0917165 0918064 0945449 0945959 0948390 0952008 0958186 0958492 0958879 0960084 0964596 0967988 0970193 0981989 0988603 0991769 0993169 1001039 1002248 1002405 1002767 1004225 1005059 1005112 1005412 1005971 1007134 1007394 1009729 1013197 1016434 1018936 1020520 1025629 1029737 1035148 1036442 1038671 1040818 1049299 1049929 1055590 1058223 1065183 1067334 1076989 1077161 1077417 1077482 1078508 1080648 1086916 
002876	DAL100A	1084458	2	0770198 0786993 0807767 0822753 0825743 0828705 0833657 0859310 0870197 0871255 0875055 0876307 0888222 0896084 0901262 0905453 0910403 0915622 0990668 1010175 1017840 1018271 1019212 1020695 1028249 1037338 1039679 1045379 1055078 1055290 1056281 1066007 1076437 1088180 
003533	TH102	0897706	2	0772504 0780485 0783959 0860257 0879882 0965925 1004997 1017760 
001426	CARP15	0020093	2	0779081 0787159 0851545 0858527 0896036 0913880 0993532 
001163	ROSTUD	0031568	2	0818599 0911706 
001546	GIL210	0031756	2	0771752 0810196 0828021 0834495 0850337 0850607 0854138 0856959 0910834 0966299 0966303 1002706 
006049	DAL100A	0031454	3	0771900 0786993 0788849 0812300 0812632 0813366 0817768 0829788 0830269 0831531 0832718 0834443 0847248 0857382 0859319 0861730 0875055 0896287 0897310 0911598 0948095 1000895 
008446	CARP13	0893542	2	0786698 0812518 0828464 0860298 0888735 1007779 
008464	TAYG	0750017	2	0772305 0885910 1009104 1067724 1079384 
001195	PK337	0031471	2	0773014 0860532 0903917 0993551 
004016	PK229	0854975	3	0773014 0867125 0903449 0906963 0919772 0920251 0945809 0945969 0951991 1019006 1025508 1037338 1065271 1067726 
