71.48649
Course	Room	Teacher	Time	Students
002992	43 / 60 / 48	PK336	1083868	3	1081207 1085421 1115206 1155700 1161824 1162792 3066589 3071791 3078232 3088350 3092244 3094556 3094802 3099184 3120610 3122857 3126433 3151640 3181938 3185620 3188399 3192055 3194683 3209843 3210876 3211393 3217667 3219685 3220537 3221922 3223468 3248326 3248776 3252851 3304359 3315084 3315934 3316693 3316711 3316819 3323644 3330372 3333381 
005197	7 / 19 / 7	TAYC	1020104	4	1081304 1085421 1112411 1134731 3066114 3089542 3209784 
007380	6 / 29 / 15	TAYF	0987494	3	1081394 1096920 3080943 3088047 3091892 3221081 
004739	0 / 7 / 5	PK337	3393272	3	
005873	2 / 5 / 2	EHSEM	3212821	4	1081569 1092084 
002704	0 / 4 / 1	PK10	0032827	3	
007377	10 / 36 / 18	TAYE	0701976	3	1082986 3079005 3080546 3108487 3177063 3212784 3216420 3216601 3219786 3331473 
005845	7 / 22 / 11	PK328	0031582	3	1083355 3190802 3219783 3232822 3256706 3304005 3332532 
006519	7 / 23 / 9	BYC127	0031478	4	1086556 1093047 3062860 3087117 3092151 3093100 3126433 
004355	16 / 37 / 17	CARP21	0847593	4	1086904 3089763 3114776 3120788 3160008 3190685 3211393 3216554 3218908 3221612 3233850 3254053 3260308 3296990 3317234 3332580 
002878	4 / 19 / 4	TH224	3212821	5	1086942 1103971 1149469 3066973 
011857	3 / 15 / 3	PK259	0847593	5	1087351 3080142 3188402 
003277	5 / 17 / 6	PK278	0492451	4	1088139 1088892 1094776 1143142 3066124 
003027	14 / 36 / 14	PK243	0375562	4	1088236 1123611 1131814 1155839 3064899 3065426 3065568 3065591 3072895 3085394 3088071 3088264 3092179 3100402 
011846	2 / 6 / 3	PK354	3196642	4	1088574 3311410 
002164	16 / 36 / 16	TAYG	0180723	4	1090070 3057362 3061134 3076209 3078071 3078822 3084853 3085643 3086192 3091305 3091587 3092408 3095021 3098983 3183942 3315084 
011826	17 / 40 / 17	BYC106	0180723	5	1090070 3057362 3061134 3062766 3076209 3078071 3078822 3084853 3085643 3086192 3088141 3088969 3091305 3091587 3092408 3098983 3315084 
008500	6 / 17 / 6	TH102	0031619	4	1090521 1136656 1138000 1143180 3068998 3216670 
002367	17 / 40 / 25	BYC106	3208421	4	1090632 3121782 3138631 3163183 3175457 3189715 3192657 3204619 3211396 3211478 3212165 3215666 3268686 3309285 3315767 3322107 3333635 
003433	31 / 60 / 32	PK336	0031477	4	1091481 1092805 1093772 3062439 3064715 3065289 3067585 3080774 3082246 3084075 3085421 3090325 3092577 3093257 3097082 3100385 3107592 3109227 3119630 3125450 3152571 3153306 3155060 3155348 3194873 3205138 3212784 3214899 3306653 3319378 3330627 
004023	8 / 27 / 11	EHIII	1167978	4	3079855 3085596 3091169 3104777 3108886 3125808 3209843 3323539 
001151	34 / 64 / 36	PK25	0031388	4	1091600 3068181 3082370 3084353 3086119 3088141 3088969 3091747 3098317 3106403 3127044 3135241 3153713 3166656 3185620 3209232 3215601 3216601 3216609 3216914 3217778 3228759 3238414 3248716 3252312 3260264 3297368 3304357 3306703 3311445 3322141 3322149 3323644 3332532 
001764	7 / 26 / 11	PK229	1165592	4	1092760 1157995 3096355 3191823 3227145 3248182 3322740 
004066	3 / 8 / 4	RCSEM	3244352	4	1097091 3066589 3070830 
004394	1 / 7 / 1	BYC100	1051497	5	1093321 
009273	5 / 11 / 5	TAYSEM	3310251	4	1093453 1129252 3064869 3069352 3073216 
007381	20 / 39 / 23	PK180	0031611	4	1094452 1141766 1164327 3079005 3079887 3080546 3089580 3091870 3095337 3097009 3098224 3099375 3126930 3177063 3210877 3211006 3217195 3288377 3323692 3330095 
007008	28 / 43 / 29	EHLEC	0316015	4	1094952 1156319 3067387 3070184 3085612 3094263 3100011 3105219 3193987 3197905 3213921 3220189 3223001 3223593 3232322 3249841 3256154 3256706 3256961 3261685 3271107 3296121 3316782 3321871 3322084 3322663 3329172 3333007 
002856	49 / 119 / 49	PK338	3318436	4	1095145 1162423 3068444 3079120 3081179 3086240 3086995 3089014 3094744 3095908 3096489 3101150 3104014 3105382 3110627 3121582 3125127 3125856 3126602 3152788 3161390 3178019 3188793 3188879 3190134 3190802 3191210 3192437 3193672 3193776 3194322 3194888 3204243 3204248 3205324 3205329 3205491 3211128 3211335 3211360 3211643 3213402 3213840 3217372 3217415 3217434 3217543 3217785 3217793 
002653	5 / 22 / 9	PK328	0359529	4	1095813 3149019 3214129 3215769 3221081 
009262	7 / 36 / 10	PK243	3196642	5	1095813 3084782 3097075 3126930 3205491 3217543 3332761 
004280	3 / 10 / 5	TH251	0031577	4	1109742 1162390 3219029 
004289	0 / 4 / 1	CAN311	0017611	4	
009299	3 / 10 / 5	CARP13	3092667	4	1115327 1163424 3078437 
005141	8 / 24 / 11	PK349	0493856	4	1120982 3096963 3152572 3188882 3216013 3262172 3315776 3319376 
011531	2 / 11 / 3	CARP17	3310251	5	1123611 3093100 
